edad,anios_al_retiro,bonos_a_comprar,precio_por_bono_udis,costo_total_udis,pension_anual_objetivo_udis,cupon_anual_por_bono_udis,precio_por_bono_mxn,costo_total_mxn,pension_anual_objetivo_mxn
16,49,14400.0,7.2455065722555725,104335.29464048025,72000,5,64.0388012163288,922158.737515135,636365.952
17,48,14400.0,7.582422627865456,109186.88584126257,72000,5,67.01660547288809,965039.1188095886,636365.952
18,47,14400.0,7.935005280061199,114264.07603288128,72000,5,70.1328776273774,1009913.4378342344,636365.952
19,46,14400.0,8.303983025584046,119577.35556841026,72000,5,73.39405643705044,1056874.4126935264,636365.952
20,45,14400.0,8.690118236273705,125137.70260234135,72000,5,76.80688006137329,1106019.0728837755,636365.952
21,44,14400.0,9.094208734260432,130956.60577335022,72000,5,80.37839998422716,1157448.959772871,636365.952
22,43,14400.0,9.517089440403542,137046.087941811,72000,5,84.11599558349371,1211270.3364023096,636365.952
23,42,14400.0,9.959634099382306,143418.7310311052,72000,5,88.02738937812617,1267594.407045017,636365.952
24,41,14400.0,10.422757085003584,150087.7020240516,72000,5,92.12066298420903,1326537.54697261,636365.952
25,40,14400.0,10.90741528945625,157066.78016817,72000,5,96.40427381297475,1388221.5429068364,636365.952
26,39,14400.0,11.414610100415965,164370.3854459899,72000,5,100.88707254527807,1452773.8446520043,636365.952
27,38,14400.0,11.94538947008531,172013.60836922846,72000,5,105.57832141863354,1520327.828428323,636365.952
28,37,14400.0,12.500850080444273,180012.24115839755,72000,5,110.48771336459995,1591023.0724502394,636365.952
29,36,14400.0,13.082139609184932,188382.81037226302,72000,5,115.62539203605385,1665005.6453191754,636365.952
30,35,14400.0,13.690459101012033,197142.61105457327,72000,5,121.00197276573037,1742428.4078265172,636365.952
31,34,14400.0,14.327065449209092,206309.74246861093,72000,5,126.62856449933683,1823451.3287904505,636365.952
32,33,14400.0,14.993273992597318,215903.1454934014,72000,5,132.516792748556,1908241.815579207,636365.952
33,32,14400.0,15.690461233253089,225942.6417588445,72000,5,138.67882361136384,1996975.0600036394,636365.952
34,31,14400.0,16.42006768059936,236448.97460063078,72000,5,145.12738890929228,2089834.400293809,636365.952
35,30,14400.0,17.18360082774723,247443.85191956014,72000,5,151.8758124935744,2187011.699907471,636365.952
36,29,14400.0,17.983380166497906,258960.67439756985,72000,5,158.94459499765776,2288802.1679662718,636365.952
37,28,14400.0,18.821072499646,271023.4439949024,72000,5,166.34846831803122,2395417.9437796497,636365.952
38,27,14400.0,19.698418709973623,283657.22942362016,72000,5,174.10281910093025,2507080.5950533953,636365.952
39,26,14400.0,20.61723692917121,296888.21178006544,72000,5,182.2237167505777,2624021.521208319,636365.952
40,25,14400.0,21.579425836316325,310743.73204295506,72000,5,190.7279425825116,2746482.373188167,636365.952
41,24,14400.0,22.586968090911547,325252.34050912625,72000,5,199.63302016620207,2874715.49039331,636365.952
42,23,14400.0,23.64193390566025,340443.8482415076,72000,5,208.95724690273005,3008984.355399313,636365.952
43,22,14400.0,24.746484764342924,356349.3806065381,72000,5,218.71972688492474,3149564.0671429164,636365.952
44,21,14400.0,25.902877290345987,373001.43298098224,72000,5,228.94040508903063,3296741.8332820414,636365.952
45,20,14400.0,27.11346727158987,390433.92871089414,72000,5,239.64010294869627,3450817.482461226,636365.952
46,19,14400.0,28.38071384780451,408682.279408385,72000,5,250.84055536385696,3612103.997239541,636365.952
47,18,14400.0,29.707183866307233,427783.44767482416,72000,5,262.56444919891175,3780928.068464329,636365.952
48,17,14400.0,31.095556412651266,447776.01234217826,72000,5,274.83546332647956,3957630.671901306,636365.952
49,16,14400.0,32.54862752273293,468700.23632735416,72000,5,287.6783102749631,4142567.6679594684,636365.952
50,15,14400.0,34.06931508317127,490598.1371976663,72000,5,301.11877954014227,4336110.425378049,636365.952
51,14,14400.0,35.66066392700656,513513.56054889446,72000,5,315.1837826230776,4538646.469772317,636365.952
52,13,14400.0,37.32585113200369,537492.2563008532,72000,5,329.90139985871957,4750580.157965562,636365.952
53,12,14400.0,39.068191529091685,562581.9580189203,72000,5,345.3009291017884,4972333.379065754,636365.952
54,11,14400.0,40.89114342872453,588832.4653736333,72000,5,361.4129363387338,5204346.283277767,636365.952
55,10,14400.0,42.79831457320771,616295.7298541911,72000,5,378.2693082968722,5447078.03947496,636365.952
